Список населенных пунктов Беларуси и их географические координаты.		
		
Количество населенных пунктов: 21088		
Дата: 01-09-2019		

Разработка: Павленко Александр		https://jugit.wordpress.com/
            Пухлов Дмитрий		dmitri.poukhlov@gmail.com
            Савчук Роман		@wassmor_21


Описание полей БД:		
Название населенного пункта (NAME)		
Область (OBL)     		
Район (RAION)     		
Сельский (поселковый) совет (SOVET)     		
Тип населенного пункта (TIP)
Географических координаты - широта, десятичный формат (LATITUDE)
Географических координаты - долгота, десятичный формат (LONGITUDE)
Географических координаты - широта, формат градусы/минуты/секунды (DMS_LAT)
Географических координаты - долгота, формат градусы/минуты/секунды (DMS_LONG)
Военная система прямоугольных координат (MGRS)

Примечание: 
корректность базы данных проверялась выборочно
Район, Сельский совет и Тип может несоответствовать выбранному населенному пункту

Источники информации:
http://geonames.nga.mil/gns/html/
https://www.bygeo.ru/materialy/naselenie-belarusi/421-naselennye-punkty-belarusi-odnim-spiskom-skachat-v-formate-excel.html


						
						

NAME	OBL	RAION	SOVET	TIP	LATITUDE	LONGITUDE
Мижречье	МИНСКАЯ ОБЛАСТЬ	Пуховичский	Пуховичский	д.	53,5753	28,3217
Веробьевка	МИНСКАЯ ОБЛАСТЬ	Пуховичский	Узлянский	д.	53,5516	27,8039
Власовцы	БРЕСТСКАЯ ОБЛАСТЬ	Ивановский	Одрижинский	д.	51,979182	25,463402
Крапивница	ГРОДНЕНСКАЯ ОБЛАСТЬ	Свислочский	Порозовский поселковый Совет	д.	53,900896	24,5882
Дотишки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Вороновский	Дотишский	аг.	54,1163	24,9974
Скидель	ГРОДНЕНСКАЯ ОБЛАСТЬ	Гродненский		г.	53,5904	24,2478
Дворное Село	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Миорский	д.	55,5638	27,6513
Петровичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Ивьевский	Ивьевский	д.	53,955	25,864
Мокраны	БРЕСТСКАЯ ОБЛАСТЬ	Малоритский	Мокранский	д.	51,833	24,2618
Гирки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Вороновский	Гирковский	аг.	54,0043	24,8965
Луково	БРЕСТСКАЯ ОБЛАСТЬ	Малоритский	Луковский	д.	51,8879	24,2394
Друйск	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Друевский	д.	55,7281	27,2801
Долгиново	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Узменский	д.	55,7377	27,7941
Браслав	ВИТЕБСКАЯ ОБЛАСТЬ			г.	55,6413	27,0418
Черессы	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Миорский	аг.	55,6232	27,7069
Боровка	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Бельковщинский	д.	55,8115	27,944
Бильдюги	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Друевский	х.	55,4882	27,3792
Бигосово	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Бигосовский	д.	55,8351	27,7399
Друя	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Друевский	аг.	55,7906	27,4505
